season,method,n_contestants,nonbayes_elim_acc,bayes_vi_elim_acc,T_weeks,loo_weeks_tested,loo_bottom1_rate,loo_bottom2_rate
1,rank,6,1.0,1.0,6,3.0,0.0,0.3333333333333333
2,rank,10,1.0,1.0,8,3.0,0.3333333333333333,0.6666666666666666
3,percent,11,0.8571428571428571,1.0,10,3.0,0.0,0.3333333333333333
4,percent,11,0.75,1.0,10,3.0,0.0,0.0
5,percent,12,0.8888888888888888,0.8888888888888888,10,3.0,0.0,0.0
6,percent,12,1.0,1.0,10,3.0,0.0,0.0
7,percent,13,0.875,1.0,10,3.0,0.0,0.3333333333333333
8,percent,13,0.7777777777777778,1.0,11,3.0,0.0,0.6666666666666666
9,percent,16,1.0,1.0,10,3.0,0.0,0.3333333333333333
10,percent,11,0.75,0.875,10,3.0,0.0,0.3333333333333333
11,percent,12,1.0,1.0,10,3.0,0.0,0.6666666666666666
12,percent,11,1.0,1.0,10,3.0,0.0,0.6666666666666666
13,percent,12,0.6666666666666666,1.0,10,3.0,0.0,0.6666666666666666
14,percent,12,1.0,1.0,10,3.0,0.0,0.0
15,percent,13,0.7142857142857143,1.0,10,3.0,0.0,0.0
16,percent,12,1.0,1.0,10,3.0,0.0,0.0
17,percent,12,0.8888888888888888,1.0,11,3.0,0.0,0.3333333333333333
18,percent,12,0.8571428571428571,0.8571428571428571,10,3.0,0.3333333333333333,0.6666666666666666
19,percent,13,0.8,1.0,11,3.0,0.0,0.6666666666666666
20,percent,12,0.625,1.0,10,3.0,0.0,0.0
21,percent,13,1.0,1.0,11,3.0,0.0,0.0
22,percent,12,0.8571428571428571,1.0,10,3.0,0.0,0.3333333333333333
23,percent,13,0.8888888888888888,1.0,11,3.0,0.0,0.0
24,percent,12,1.0,1.0,10,3.0,0.0,0.0
25,percent,13,0.75,1.0,10,3.0,0.0,0.3333333333333333
26,percent,10,0.6666666666666666,1.0,4,3.0,0.3333333333333333,0.3333333333333333
27,percent,13,1.0,1.0,9,3.0,0.0,0.0
28,rank_judges_save,12,0.5714285714285714,0.42857142857142855,11,3.0,0.3333333333333333,0.6666666666666666
29,rank_judges_save,15,1.0,1.0,11,3.0,0.3333333333333333,0.3333333333333333
30,rank_judges_save,15,0.75,0.75,10,3.0,0.6666666666666666,0.6666666666666666
31,rank_judges_save,16,0.8888888888888888,0.8888888888888888,10,3.0,0.3333333333333333,0.6666666666666666
32,rank_judges_save,14,0.5555555555555556,0.6666666666666666,11,3.0,0.3333333333333333,0.3333333333333333
33,rank_judges_save,13,0.6666666666666666,0.8333333333333334,9,3.0,0.6666666666666666,0.6666666666666666
34,rank_judges_save,14,0.375,0.625,11,3.0,0.6666666666666666,0.6666666666666666
