dancer,baseline,effect_judge,se_judge,p_judge,n_obs,effect_vote,se_vote,p_vote,effect_corr_judge_vs_vote
Pasha Pashkov,Alan Bersten,0.00845971296720707,0.006501530356800791,0.19319412831254534,37,-0.5534380173314807,0.37579924622614447,0.14083304674819255,0.015557636467252115
Derek Hough,Alan Bersten,0.0074510498539378574,0.005031384449672688,0.13862937623398397,164,0.6634743272037589,0.3281041403421141,0.04316131752612007,0.015557636467252115
Brandon Armstrong,Alan Bersten,0.006763840025156481,0.005148512153546527,0.1889315136818418,45,-0.4533888645641569,0.46380984672792025,0.32830595288725406,0.015557636467252115
Britt Stewart,Alan Bersten,0.00469772687101414,0.004833771088728899,0.33112245582166766,30,0.1491592324274587,0.32506810471305697,0.646338058642995,0.015557636467252115
Jonathan Roberts,Alan Bersten,0.003030014189136886,0.007270197456717663,0.6768452395336675,28,-0.5869973658612962,0.37908140599323165,0.12150842957815763,0.015557636467252115
Artem Chigvintsev,Alan Bersten,0.002835051828527366,0.004858827695859338,0.5595670249927149,81,-0.6017730786969245,0.3403265962154511,0.07702374658460465,0.015557636467252115
Jenna Johnson,Alan Bersten,0.0023246325439057864,0.00720881537538818,0.7470960467758977,56,-0.24697668608269688,0.5570549091308794,0.6575042968743481,0.015557636467252115
Mark Ballas,Alan Bersten,0.0016777120723879568,0.0046696371089599495,0.719384857368152,166,-0.9375193223950931,0.31769664934581504,0.0031675818208916668,0.015557636467252115
Cheryl Burke,Alan Bersten,0.0014816302855189922,0.0050862803114393555,0.7708223639463095,191,-0.32561106202304513,0.3076117864884195,0.28982164634773044,0.015557636467252115
Valentin Chmerkovskiy,Alan Bersten,0.0013378019590075659,0.004478434106075968,0.7651529931674519,158,-0.5846468133581716,0.3380166340149281,0.08369476151712645,0.015557636467252115
Daniella Karagach,Alan Bersten,0.0011804535253138796,0.004886578338790225,0.809112926801834,44,0.5881228555449333,0.4910969162556423,0.23108452328283868,0.015557636467252115
Kym Johnson,Alan Bersten,0.0010191515410430212,0.006195126141007331,0.8693307755393509,93,-0.7478087280295953,0.3402855468288739,0.02797820796332879,0.015557636467252115
Maksim Chmerkoskiy,Alan Bersten,0.0004534166356392609,0.005135408510707251,0.9296444196211012,121,-1.1455442944522618,0.35012547501560315,0.001068610793529055,0.015557636467252115
Gleb Savchenko,Alan Bersten,0.0002989481062594025,0.00566449931005649,0.9579105963735742,75,-0.8107690206195021,0.33961359140663583,0.01697134418202708,0.015557636467252115
Alan Bersten,Alan Bersten,0.0,,,62,0.0,,,0.015557636467252115
Sasha Farber,Alan Bersten,-0.0002519086422093474,0.00489042482924081,0.9589186677075111,96,-0.5645495979292021,0.38037340705236783,0.13775629709526407,0.015557636467252115
Julianne Hough,Alan Bersten,-0.000898267890173042,0.008433205402624374,0.9151732828746735,41,-0.5562652240847955,0.47069819908501165,0.23729004900409756,0.015557636467252115
Witney Carson,Alan Bersten,-0.0010485612839372638,0.005196548306364024,0.8400884518409093,107,-0.2857132237893444,0.3814343928597177,0.45382739861800725,0.015557636467252115
Other,Alan Bersten,-0.0010681289958238685,0.005435575057428967,0.8442132897661928,204,-0.8500317092376974,0.3290620077149744,0.009788965298510907,0.015557636467252115
Tony Dovolani,Alan Bersten,-0.0018617918862932012,0.005890737126116224,0.7519614109649159,118,-1.0688754308621533,0.29008072690518094,0.00022892576594119355,0.015557636467252115
Anna Trebunskaya,Alan Bersten,-0.002980795646652204,0.0059647021942222985,0.6172587097116036,54,-1.182177281409229,0.28714789926304024,3.838976483926298e-05,0.015557636467252115
Allison Holker,Alan Bersten,-0.003461560805395774,0.007851386825361278,0.6592960575056338,28,-0.9860214361195648,0.3553528482909716,0.0055241230879273994,0.015557636467252115
Emma Slater,Alan Bersten,-0.0037980532141583664,0.004963637835553596,0.44416714838716775,99,-0.7316372798415689,0.3738304358172637,0.05033139409323862,0.015557636467252115
Sharna Burgess,Alan Bersten,-0.0041419991406540305,0.005365542228229793,0.44013644516072425,95,-0.7578340919848184,0.42992063028041666,0.07794599945466564,0.015557636467252115
Louis van Amstel,Alan Bersten,-0.004357566784565411,0.0062774142834835355,0.48757818997157953,65,-0.8139309047892344,0.3357649500901236,0.015345990191247218,0.015557636467252115
Karina Smirnoff,Alan Bersten,-0.004532336258907176,0.0062993730353249466,0.4718390269040377,117,-0.858352350971509,0.2956064365272839,0.0036878157807692024,0.015557636467252115
Keo Motsepe,Alan Bersten,-0.005140877457289061,0.005902263571117643,0.3837536085035904,35,-0.7735123045408249,0.32231083511727304,0.0163997554308544,0.015557636467252115
Lacey Schwimmer,Alan Bersten,-0.005279693475867907,0.00660583870769492,0.4241474930971747,41,-0.6439679327683655,0.39402832076840505,0.10219190665051361,0.015557636467252115
Peta Murgatroyd,Alan Bersten,-0.006182198599457956,0.005058523933101091,0.22165662029032518,101,-0.4620459736044582,0.3379155394735502,0.17151825892118056,0.015557636467252115
Tristan MacManus,Alan Bersten,-0.007025586160770305,0.004954312282407824,0.15616888276157287,21,-0.7088262708323542,0.3530700374292603,0.04468495199239132,0.015557636467252115
Edyta Sliwinska,Alan Bersten,-0.007054459772909418,0.00726742472261555,0.3316997073492497,58,-0.4483547693257616,0.34088649481966016,0.188422144019336,0.015557636467252115
Lindsay Arnold,Alan Bersten,-0.007198794499613476,0.005511908662699293,0.19153764052542088,79,-0.05241876003128138,0.4249146750938895,0.9018196345127023,0.015557636467252115
Rylee Arnold,Alan Bersten,-0.011978491588647146,0.0048556684293801595,0.013628503155994743,24,1.2713910828921953,0.46030215051024,0.00574345109974129,0.015557636467252115
Chelsie Hightower,Alan Bersten,-0.013091742614852972,0.004325032809432473,0.0024701884081356255,43,-0.5450915533766093,0.3183599008477001,0.08686228772009602,0.015557636467252115
