season,weeks,exact_match_rate,avg_jaccard,avg_missing_votes,judge_spearman_final,low_judge_winner,fan_influence_corr_final
1,6,1.0,1.0,6.0,0.8451542547285166,0.0,
2,8,1.0,1.0,10.0,0.812776759390954,0.0,
3,10,1.0,1.0,11.0,0.6708203932499368,0.0,
4,10,1.0,1.0,11.0,0.7862453931068967,0.0,
5,10,1.0,1.0,12.0,0.7618527288259722,0.0,
6,10,1.0,1.0,12.0,0.7618527288259722,0.0,
7,10,1.0,1.0,13.0,0.7375337578416624,0.0,
8,11,1.0,1.0,13.0,0.7393938711561631,0.0,
9,10,1.0,1.0,16.0,0.6816933932149711,0.0,
10,10,1.0,1.0,11.0,0.7862453931068967,0.0,
11,10,1.0,1.0,12.0,0.7618527288259722,0.0,
12,10,1.0,1.0,11.0,0.7833494518006403,0.0,
13,10,1.0,1.0,12.0,0.7618527288259722,0.0,
14,10,1.0,1.0,12.0,0.75955452531275,0.0,
15,10,1.0,1.0,13.0,0.7393938711561631,0.0,
16,10,1.0,1.0,12.0,0.838330008288623,0.0,
17,11,1.0,1.0,11.363636363636363,0.8404128189727395,0.0,
18,10,1.0,1.0,12.0,0.8404128189727395,0.0,
19,11,1.0,1.0,13.0,0.8187366306265222,0.0,
20,10,1.0,1.0,12.0,0.75955452531275,0.0,
21,11,1.0,1.0,13.0,0.8119979429411501,0.0,
22,10,1.0,1.0,12.0,0.7618527288259722,0.0,
23,11,1.0,1.0,13.0,0.8187366306265222,0.0,
24,10,1.0,1.0,12.0,0.7618527288259722,0.0,
25,10,1.0,1.0,13.0,0.8170571691028833,0.0,
26,4,1.0,1.0,10.0,0.812776759390954,0.0,
27,9,1.0,1.0,13.0,0.8170571691028833,0.0,
28,11,1.0,1.0,12.0,0.8404128189727395,0.0,
29,11,1.0,1.0,15.0,0.7745966692414834,0.0,
30,10,1.0,1.0,15.0,0.7780470055575966,0.0,
31,10,1.0,1.0,16.0,0.7592566023652967,0.0,
32,11,1.0,1.0,14.0,0.8554929174856634,0.0,
33,9,1.0,1.0,13.0,0.8754904433993078,0.0,
34,11,1.0,1.0,14.0,0.8567764784737814,0.0,
ALL,335,1.0,1.0,12.363636363636363,0.7890712601722064,0.0,
